name,lang,stars,commits,issues,tags,releases,last_commit,description,url,discarded,software,shared,few_releases,date_releases,selected
vuejs/vue,javascript,173633,3127,9211,250,208,2020-10-05 14:57:24+00:00,"🖖 Vue.js is a progressive, incrementally-adoptable JavaScript framework for building UI on the web.",https://github.com/vuejs/vue,False,True,False,False,False,True
facebook/react,javascript,157151,13618,9635,131,90,2020-10-09 13:29:30+00:00,"A declarative, efficient, and flexible JavaScript library for building user interfaces.",https://github.com/facebook/react,False,True,False,False,False,True
twbs/bootstrap,javascript,144624,20098,19637,62,62,2020-10-07 14:03:53+00:00,"The most popular HTML, CSS, and JavaScript framework for developing responsive, mobile first projects on the web.",https://github.com/twbs/bootstrap,False,True,False,False,False,True
d3/d3,javascript,93988,4279,2056,267,159,2020-09-23 16:56:59+00:00,"Bring data to life with SVG, Canvas and HTML. :bar_chart::chart_with_upwards_trend::tada:",https://github.com/d3/d3,False,True,False,False,False,True
facebook/react-native,javascript,90624,21174,20262,348,148,2020-10-10 09:51:59+00:00,A framework for building native apps with React.,https://github.com/facebook/react-native,False,True,False,False,False,True
nodejs/node,javascript,73625,31855,12258,625,183,2020-10-10 15:36:13+00:00,Node.js JavaScript runtime :sparkles::turtle::rocket::sparkles:,https://github.com/nodejs/node,False,True,False,False,False,True
mrdoob/three.js,javascript,63955,35292,10074,113,113,2020-10-10 14:10:24+00:00,JavaScript 3D library.,https://github.com/mrdoob/three.js,False,True,False,False,False,True
angular/angular.js,javascript,59500,9036,9003,207,0,2020-10-08 18:16:57+00:00,AngularJS - HTML enhanced for web apps!,https://github.com/angular/angular.js,False,True,False,False,False,True
webpack/webpack,javascript,55847,12166,7433,453,245,2020-10-10 19:03:10+00:00,"A bundler for javascript and friends. Packs many modules into a few bundled assets. Code Splitting allows for loading parts of the application on demand. Through ""loaders"", modules can be CommonJs, AMD, ES6 modules, CSS, Images, JSON, Coffeescript, LESS, ... and your custom stuff.",https://github.com/webpack/webpack,False,True,False,False,False,True
vercel/next.js,javascript,54145,7016,7417,948,829,2020-10-10 10:22:45+00:00,The React Framework,https://github.com/vercel/next.js,False,True,False,False,False,True
microsoft/TypeScript,typescript,64910,31206,27912,130,110,2020-10-10 06:23:12+00:00,TypeScript is a superset of JavaScript that compiles to clean JavaScript output.,https://github.com/microsoft/TypeScript,False,True,False,False,False,True
ant-design/ant-design,typescript,63926,19525,18975,418,366,2020-10-10 18:56:12+00:00,🌈  A UI Design Language and React UI library,https://github.com/ant-design/ant-design,False,True,False,False,False,True
reduxjs/redux,typescript,54456,3063,1813,69,61,2020-10-04 20:09:11+00:00,Predictable state container for JavaScript apps,https://github.com/reduxjs/redux,False,True,False,False,False,True
storybookjs/storybook,typescript,53940,30597,6331,890,606,2020-10-10 02:41:01+00:00,"📓 The UI component explorer. Develop, document, & test for React, Vue, Angular, Ember, Web Components, & more!",https://github.com/storybookjs/storybook,False,True,False,False,False,True
ionic-team/ionic-framework,typescript,41882,10550,18165,247,216,2020-10-09 20:58:49+00:00,"A powerful cross-platform UI toolkit for building native-quality iOS, Android, and Progressive Web Apps with HTML, CSS, and JavaScript.",https://github.com/ionic-team/ionic-framework,False,True,False,False,False,True
grafana/grafana,typescript,37523,26658,17713,217,192,2020-10-09 19:10:23+00:00,"The tool for beautiful monitoring and metric analytics & dashboards for Graphite, InfluxDB & Prometheus & More",https://github.com/grafana/grafana,False,True,False,False,False,True
vercel/hyper,typescript,34266,2030,3102,101,64,2020-10-08 13:48:43+00:00,A terminal built on web technologies,https://github.com/vercel/hyper,False,True,False,False,False,True
facebook/jest,typescript,32708,5077,5732,197,115,2020-10-10 11:57:09+00:00,Delightful JavaScript Testing.,https://github.com/facebook/jest,False,True,False,False,False,True
nestjs/nest,typescript,30860,6120,2908,160,53,2020-10-06 06:55:37+00:00,"A progressive Node.js framework for building efficient, scalable, and enterprise-grade server-side applications on top of TypeScript & JavaScript (ES6, ES7, ES8) 🚀",https://github.com/nestjs/nest,False,True,False,False,False,True
vuetifyjs/vuetify,typescript,27952,10957,9131,374,361,2020-10-10 16:33:16+00:00,🐉 Material Component Framework for Vue,https://github.com/vuetifyjs/vuetify,False,True,False,False,False,True
elastic/elasticsearch,java,51561,55176,25051,282,33,2020-10-09 06:52:34+00:00,"Open Source, Distributed, RESTful Search Engine",https://github.com/elastic/elasticsearch,False,True,False,False,False,True
spring-projects/spring-boot,java,51005,29052,19032,168,70,2020-10-10 06:23:28+00:00,Spring Boot,https://github.com/spring-projects/spring-boot,False,True,False,False,False,True
spring-projects/spring-framework,java,39624,21646,20080,191,188,2020-10-10 14:35:56+00:00,Spring Framework,https://github.com/spring-projects/spring-framework,False,True,False,False,False,True
square/okhttp,java,38392,4714,3212,105,0,2020-10-10 01:27:58+00:00,"Square’s meticulous HTTP client for the JVM, Android, and GraalVM.",https://github.com/square/okhttp,False,True,False,False,False,True
apache/dubbo,java,33730,4404,3816,70,27,2020-10-10 06:07:40+00:00,"Apache Dubbo is a high-performance, java based, open source RPC framework.",https://github.com/apache/dubbo,False,True,False,False,False,True
PhilJay/MPAndroidChart,java,31866,2066,4541,44,44,2020-09-21 14:53:08+00:00,"A powerful 🚀 Android chart view / graph view library, supporting line- bar- pie- radar- bubble- and candlestick charts as well as scaling, panning and animations.",https://github.com/PhilJay/MPAndroidChart,False,True,False,False,False,True
bumptech/glide,java,30014,2530,3819,38,35,2020-09-24 19:34:43+00:00,An image loading and caching library for Android focused on smooth scrolling,https://github.com/bumptech/glide,False,True,False,False,False,True
netty/netty,java,24895,9988,5215,219,0,2020-10-08 10:06:43+00:00,Netty project - an event-driven asynchronous network application framework,https://github.com/netty/netty,False,True,False,False,False,True
ctripcorp/apollo,java,22476,2419,2215,27,27,2020-10-03 11:24:30+00:00,Apollo（阿波罗）是携程框架部门研发的分布式配置中心，能够集中化管理应用不同环境、不同集群的配置，配置修改后能够实时推送到应用端，并且具备规范的权限、流程治理等特性，适用于微服务配置管理场景。,https://github.com/ctripcorp/apollo,False,True,False,False,False,True
alibaba/fastjson,java,22463,3749,2850,128,80,2020-10-10 18:01:23+00:00,A fast JSON parser/generator for Java.  ,https://github.com/alibaba/fastjson,False,True,False,False,False,True
django/django,python,52756,28840,0,295,0,2020-10-09 10:59:00+00:00,The Web framework for perfectionists with deadlines.,https://github.com/django/django,False,True,False,False,False,True
pallets/flask,python,52332,4021,2000,32,10,2020-10-07 15:06:29+00:00,The Python micro framework for building web applications.,https://github.com/pallets/flask,False,True,False,False,False,True
keras-team/keras,python,49949,5349,10280,50,23,2020-06-24 22:39:49+00:00,Deep Learning for humans,https://github.com/keras-team/keras,False,True,False,False,False,True
ansible/ansible,python,45056,50771,28232,334,3,2020-10-09 20:12:45+00:00,"Ansible is a radically simple IT automation platform that makes your applications and systems easier to deploy and maintain. Automate everything from code deployment to network configuration to cloud management, in a language that approaches plain English, using SSH, with no agents to install on remote systems. https://docs.ansible.com.",https://github.com/ansible/ansible,False,True,False,False,False,True
psf/requests,python,43659,5988,3250,139,0,2020-10-05 18:15:43+00:00,"A simple, yet elegant HTTP library.",https://github.com/psf/requests,False,True,False,False,False,True
scrapy/scrapy,python,38504,8509,2309,96,17,2020-10-08 19:39:05+00:00,"Scrapy, a fast high-level web crawling & scraping framework for Python.",https://github.com/scrapy/scrapy,False,True,False,False,False,True
home-assistant/core,python,36144,30476,16859,661,660,2020-10-10 18:42:19+00:00,:house_with_garden: Open source home automation that puts local control and privacy first,https://github.com/home-assistant/core,False,True,False,False,False,True
soimort/you-get,python,35252,2320,0,144,105,2020-10-06 13:21:53+00:00,:arrow_double_down: Dumb downloader that scrapes the web,https://github.com/soimort/you-get,False,True,False,False,False,True
huggingface/transformers,python,34795,5466,4594,41,37,2020-10-10 07:55:11+00:00,🤗Transformers: State-of-the-art Natural Language Processing for Pytorch and TensorFlow 2.0.,https://github.com/huggingface/transformers,False,True,False,False,False,True
XX-net/XX-Net,python,30376,2215,12678,311,307,2020-10-09 09:04:25+00:00,A proxy tool to bypass GFW.,https://github.com/XX-net/XX-Net,False,True,False,False,False,True
laravel/laravel,php,61920,6365,0,118,46,2020-10-09 12:40:20+00:00,A PHP framework for web artisans,https://github.com/laravel/laravel,False,True,False,False,False,True
fzaninotto/Faker,php,24821,2614,567,12,11,2020-05-11 08:39:57+00:00,Faker is a PHP library that generates fake data for you,https://github.com/fzaninotto/Faker,False,True,False,False,False,True
composer/composer,php,23952,9964,6181,86,86,2020-10-08 12:38:41+00:00,Dependency Manager for PHP,https://github.com/composer/composer,False,True,False,False,False,True
laravel/framework,php,22329,29679,14160,591,310,2020-10-09 21:06:40+00:00,,https://github.com/laravel/framework,False,True,False,False,False,True
guzzle/guzzle,php,20000,3544,1635,133,42,2020-10-10 11:47:56+00:00,"Guzzle, an extensible PHP HTTP client",https://github.com/guzzle/guzzle,False,True,False,False,False,True
bcit-ci/CodeIgniter,php,18076,10156,3137,38,0,2020-07-09 08:47:47+00:00,Open Source PHP Framework (originally from EllisLab),https://github.com/bcit-ci/CodeIgniter,False,True,False,False,False,True
Seldaek/monolog,php,17928,2391,639,51,40,2020-08-23 11:42:45+00:00,"Sends your logs to files, sockets, inboxes, databases and various web services",https://github.com/Seldaek/monolog,False,True,False,False,False,True
sebastianbergmann/phpunit,php,16600,14145,2816,618,0,2020-10-06 09:41:30+00:00,The PHP Unit Testing framework.,https://github.com/sebastianbergmann/phpunit,False,True,False,False,False,True
briannesbitt/Carbon,php,14729,2748,969,171,167,2020-10-10 11:06:56+00:00,A simple PHP API extension for DateTime.,https://github.com/briannesbitt/Carbon,False,True,False,False,False,True
WordPress/WordPress,php,14385,42497,0,449,0,2020-10-10 19:14:04+00:00,"WordPress, Git-ified. Synced via SVN every 15 minutes, including branches and tags! This repository is just a mirror of the WordPress subversion repository. Please do not send pull requests. Submit patches to https://core.trac.wordpress.org/ instead.",https://github.com/WordPress/WordPress,False,True,False,False,False,True
electron/electron,c++,86283,24150,13825,1064,623,2020-10-10 00:45:08+00:00,":electron: Build cross-platform desktop apps with JavaScript, HTML, and CSS",https://github.com/electron/electron,False,True,False,False,False,True
opencv/opencv,c++,48855,29372,7277,98,46,2020-10-09 20:09:26+00:00,Open Source Computer Vision Library,https://github.com/opencv/opencv,False,True,False,False,False,True
bitcoin/bitcoin,c++,45395,25981,5736,236,33,2020-10-09 10:08:14+00:00,Bitcoin Core integration/staging tree,https://github.com/bitcoin/bitcoin,False,True,False,False,False,True
protocolbuffers/protobuf,c++,44177,7672,4122,89,56,2020-10-09 22:54:39+00:00,Protocol Buffers - Google's data interchange format,https://github.com/protocolbuffers/protobuf,False,True,False,False,False,True
pytorch/pytorch,c++,43011,30547,16559,49,28,2020-10-10 15:57:54+00:00,Tensors and Dynamic neural networks in Python with strong GPU acceleration,https://github.com/pytorch/pytorch,False,True,False,False,False,True
microsoft/PowerToys,c++,39205,3998,5421,23,23,2020-10-10 00:58:52+00:00,Windows system utilities to maximize productivity,https://github.com/microsoft/PowerToys,False,True,False,False,False,True
tesseract-ocr/tesseract,c++,36695,4644,1919,41,8,2020-10-10 10:52:53+00:00,Tesseract Open Source OCR Engine (main repository),https://github.com/tesseract-ocr/tesseract,False,True,False,False,False,True
godotengine/godot,c++,33725,30739,24716,29,28,2020-10-10 14:47:56+00:00,Godot Engine – Multi-platform 2D and 3D game engine,https://github.com/godotengine/godot,False,True,False,False,False,True
ocornut/imgui,c++,23910,5967,2770,68,68,2020-10-08 14:01:59+00:00,Dear ImGui: Bloat-free Graphical User interface for C++ with minimal dependencies,https://github.com/ocornut/imgui,False,True,False,False,False,True
aria2/aria2,c++,21113,5271,1403,150,22,2020-06-25 02:42:25+00:00,"aria2 is a lightweight multi-protocol & multi-source, cross platform download utility operated in command-line. It supports HTTP/HTTPS, FTP, SFTP, BitTorrent and Metalink.",https://github.com/aria2/aria2,False,True,False,False,False,True
Wox-launcher/Wox,c#,18451,2740,2782,42,38,2020-08-20 23:39:33+00:00,"Launcher for Windows, an alternative to Alfred and Launchy.",https://github.com/Wox-launcher/Wox,False,True,False,False,False,True
ShareX/ShareX,c#,13977,6408,4257,66,66,2020-10-09 09:04:15+00:00,"ShareX is a free and open source program that lets you capture or record any area of your screen and share it with a single press of a key. It also allows uploading images, text or other types of files to many supported destinations you can choose from.",https://github.com/ShareX/ShareX,False,True,False,False,False,True
icsharpcode/ILSpy,c#,11179,6187,1733,54,46,2020-10-07 21:59:22+00:00,".NET Decompiler with support for PDB generation, ReadyToRun, Metadata (&more) - cross-platform!",https://github.com/icsharpcode/ILSpy,False,True,False,False,False,True
MaterialDesignInXAML/MaterialDesignInXamlToolkit,c#,9697,2201,1264,27,27,2020-10-03 22:23:47+00:00,"Google's Material Design in XAML & WPF, for C# & VB.Net. ",https://github.com/MaterialDesignInXAML/MaterialDesignInXamlToolkit,False,True,False,False,False,True
dotnet/efcore,c#,9529,10640,14647,106,78,2020-10-09 22:35:40+00:00,"EF Core is a modern object-database mapper for .NET. It supports LINQ queries, change tracking, updates, and schema migrations.",https://github.com/dotnet/efcore,False,True,False,False,False,True
aspnetboilerplate/aspnetboilerplate,c#,8896,6561,4755,214,211,2020-10-06 12:46:47+00:00,ASP.NET Boilerplate - Web Application Framework,https://github.com/aspnetboilerplate/aspnetboilerplate,False,True,False,False,False,True
jellyfin/jellyfin,c#,8185,18402,2201,33,32,2020-10-10 06:59:13+00:00,The Free Software Media System,https://github.com/jellyfin/jellyfin,False,True,False,False,False,True
SignalR/SignalR,c#,8130,4691,3503,44,30,2020-05-29 23:09:38+00:00,Incredibly simple real-time web for .NET,https://github.com/SignalR/SignalR,False,True,False,False,False,True
AutoMapper/AutoMapper,c#,7544,3666,2564,49,35,2020-10-01 15:38:08+00:00,A convention-based object-object mapper in .NET. ,https://github.com/AutoMapper/AutoMapper,False,True,False,False,False,True
cefsharp/CefSharp,c#,7388,5483,2340,98,85,2020-10-10 10:34:21+00:00,.NET (WPF and Windows Forms) bindings for the Chromium Embedded Framework,https://github.com/cefsharp/CefSharp,False,True,False,False,False,True
netdata/netdata,c,48821,11400,5807,44,37,2020-10-10 01:19:01+00:00,"Real-time performance monitoring, done right! https://www.netdata.cloud",https://github.com/netdata/netdata,False,True,False,False,False,True
obsproject/obs-studio,c,22526,8754,800,126,123,2020-10-10 02:56:58+00:00,OBS Studio - Free and open source software for live streaming and screen recording,https://github.com/obsproject/obs-studio,False,True,False,False,False,True
ggreer/the_silver_searcher,c,20985,2055,758,49,0,2020-07-04 19:27:44+00:00,"A code-searching tool similar to ack, but faster.",https://github.com/ggreer/the_silver_searcher,False,True,False,False,False,True
tmux/tmux,c,19085,9022,2043,31,30,2020-10-09 21:01:22+00:00,tmux source code,https://github.com/tmux/tmux,False,True,False,False,False,True
taosdata/TDengine,c,13860,8534,1399,48,0,2020-10-10 06:49:03+00:00,An open-source big data platform designed and optimized for the Internet of Things (IoT).,https://github.com/taosdata/TDengine,False,True,False,False,False,True
radareorg/radare2,c,13242,24801,7575,83,64,2020-10-10 09:38:01+00:00,UNIX-like reverse engineering framework and command-line toolset,https://github.com/radareorg/radare2,False,True,False,False,False,True
mpv-player/mpv,c,13130,48773,5930,76,76,2020-10-09 17:06:27+00:00,🎥 Command line video player,https://github.com/mpv-player/mpv,False,True,False,False,False,True
nginx/nginx,c,12745,6766,0,530,0,2020-10-08 14:44:34+00:00,"An official read-only mirror of http://hg.nginx.org/nginx/ which is updated hourly. Pull requests on GitHub cannot be accepted and will be automatically closed. The proper way to submit changes to nginx is via the nginx development mailing list, see http://nginx.org/en/docs/contributing_changes.html",https://github.com/nginx/nginx,False,True,False,False,False,True
arendst/Tasmota,c,12401,8634,7157,83,83,2020-10-10 18:50:11+00:00,"Alternative firmware for ESP8266 with easy configuration using webUI, OTA updates, automation using timers or rules, expandability and entirely local control over MQTT, HTTP, Serial or KNX. Full documentation at",https://github.com/arendst/Tasmota,False,True,False,False,False,True
allinurl/goaccess,c,12189,3214,1675,27,0,2020-10-09 05:02:05+00:00,GoAccess is a real-time web log analyzer and interactive viewer that runs in a terminal in *nix systems or through your browser.,https://github.com/allinurl/goaccess,False,True,False,False,False,True
discourse/discourse,ruby,31669,39546,0,352,0,2020-10-09 21:50:00+00:00,"A platform for community discussion. Free, open, simple.",https://github.com/discourse/discourse,False,True,False,False,False,True
Homebrew/brew,ruby,23272,23673,2721,181,163,2020-10-10 08:30:31+00:00,🍺 The missing package manager for macOS (or Linux),https://github.com/Homebrew/brew,False,True,False,False,False,True
tootsuite/mastodon,ruby,21957,9660,5744,153,144,2020-10-09 15:12:52+00:00,"Your self-hosted, globally interconnected microblogging community",https://github.com/tootsuite/mastodon,False,True,False,False,False,True
heartcombo/devise,ruby,21152,3705,3984,137,14,2020-09-21 00:24:01+00:00,Flexible authentication solution for Rails with Warden.,https://github.com/heartcombo/devise,False,True,False,False,False,True
hashicorp/vagrant,ruby,20719,13600,8615,145,0,2020-10-09 16:55:00+00:00,Vagrant is a tool for building and distributing development environments.,https://github.com/hashicorp/vagrant,False,True,False,False,False,True
CocoaPods/CocoaPods,ruby,12729,9029,8111,208,168,2020-10-10 05:56:45+00:00,The Cocoa Dependency Manager.,https://github.com/CocoaPods/CocoaPods,False,True,False,False,False,True
diaspora/diaspora,ruby,12512,20242,4625,88,84,2020-09-17 06:48:45+00:00,"A privacy-aware, distributed, open source social network.",https://github.com/diaspora/diaspora,False,True,False,False,False,True
sinatra/sinatra,ruby,11077,4206,747,138,0,2020-10-06 14:26:32+00:00,Classy web-development dressed in a DSL (official / canonical repo),https://github.com/sinatra/sinatra,False,True,False,False,False,True
rubocop-hq/rubocop,ruby,11066,9874,3939,151,109,2020-10-09 15:44:39+00:00,"A Ruby static code analyzer and formatter, based on the community Ruby style guide.",https://github.com/rubocop-hq/rubocop,False,True,False,False,False,True
gollum/gollum,ruby,11024,2280,1037,83,0,2020-09-21 13:50:58+00:00,"A simple, Git-powered wiki with a sweet API and local frontend.",https://github.com/gollum/gollum,False,True,False,False,False,True
gohugoio/hugo,go,47145,6020,4949,140,140,2020-10-09 18:23:38+00:00,The world’s fastest framework for building websites.,https://github.com/gohugoio/hugo,False,True,False,False,False,True
gogs/gogs,go,35548,5471,4632,60,60,2020-10-10 15:09:42+00:00,Gogs is a painless self-hosted Git service,https://github.com/gogs/gogs,False,True,False,False,False,True
v2ray/v2ray-core,go,35246,5382,2315,350,247,2020-10-10 16:46:14+00:00,A platform for building proxies to bypass network restrictions.,https://github.com/v2ray/v2ray-core,False,True,False,False,False,True
prometheus/prometheus,go,33269,8216,3658,179,158,2020-10-08 13:52:19+00:00,The Prometheus monitoring system and time series database.,https://github.com/prometheus/prometheus,False,True,False,False,False,True
etcd-io/etcd,go,33056,16402,5083,199,191,2020-10-10 00:32:15+00:00,Distributed reliable key-value store for the most critical data of a distributed system,https://github.com/etcd-io/etcd,False,True,False,False,False,True
traefik/traefik,go,31046,3766,4091,315,310,2020-10-09 10:41:38+00:00,The Cloud Native Application Proxy,https://github.com/traefik/traefik,False,True,False,False,False,True
astaxie/beego,go,25010,3659,2808,30,6,2020-10-10 14:10:43+00:00,"beego is an open-source, high-performance web framework for the Go programming language.",https://github.com/astaxie/beego,False,True,False,False,False,True
istio/istio,go,24681,13683,11439,166,164,2020-10-10 00:51:09+00:00,"Connect, secure, control, and observe services.",https://github.com/istio/istio,False,True,False,False,False,True
hashicorp/terraform,go,24008,27005,15744,162,132,2020-10-09 19:41:15+00:00,"Terraform enables you to safely and predictably create, change, and improve infrastructure. It is an open source tool that codifies APIs into declarative configuration files that can be shared amongst team members, treated as code, edited, reviewed, and versioned.",https://github.com/hashicorp/terraform,False,True,False,False,False,True
rclone/rclone,go,23744,4816,3500,78,70,2020-10-09 16:01:16+00:00,"""rsync for cloud storage"" - Google Drive, Amazon Drive, S3, Dropbox, Backblaze B2, One Drive, Swift, Hubic, Cloudfiles, Google Cloud Storage, Yandex Files",https://github.com/rclone/rclone,False,True,False,False,False,True
